#OTU ID	G63402	G63403	G63406	G63407	G63409	G63410	G63411	G63413	G75226	G75227	G75228	G75229	G75230	G75231	G75232	G75233	G75234	G75235	G75236	G75237	G51190
OTU185	0	0	0	0	70	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	0
OTU189	0	0	0	17	0	57	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0
OTU238	6	0	6	1	7	2	6	42	0	0	0	0	2	0	1	0	0	0	0	3	1
OTU268	1	0	3	2	2	1	22	9	0	0	0	0	28	0	5	0	1	0	0	0	0
OTU701	0	0	0	0	67	1	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0
OTU191	0	0	64	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0
OTU190	0	0	0	0	0	0	0	0	69	0	0	0	0	0	0	0	0	0	1	0	0
OTU742	0	15	20	0	0	0	0	7	2	0	0	0	4	0	4	0	1	0	0	0	17
OTU205	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	67
OTU201	1	2	42	0	0	2	3	0	1	0	0	0	1	0	0	0	0	0	4	0	12
OTU187	0	14	24	8	0	3	0	0	1	0	1	0	0	0	0	0	8	0	0	8	0
OTU628	3	0	8	11	3	12	13	0	2	1	0	0	4	2	2	4	0	0	0	0	2
OTU507	1	0	0	4	0	2	3	4	40	0	1	0	0	0	0	0	0	0	5	4	0
OTU646	6	0	1	28	5	11	7	0	0	0	0	0	0	1	0	0	1	0	0	1	3
OTU195	0	0	0	1	0	2	0	33	13	0	0	0	10	0	0	0	0	3	0	2	0
OTU249	0	0	0	28	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU262	52	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8
OTU345	0	0	0	2	16	2	0	0	1	0	6	0	0	0	3	3	0	2	0	11	15
OTU207	0	0	19	0	0	0	11	9	20	0	0	0	0	0	0	0	0	0	1	0	0
OTU537	19	5	1	0	12	0	0	0	1	0	0	2	10	1	0	0	5	0	2	0	0
OTU222	0	0	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	0	35	5
OTU198	0	0	1	0	0	0	2	0	9	21	6	0	0	0	0	3	6	1	6	0	0
OTU247	0	0	0	0	3	0	0	0	0	0	3	0	0	0	3	26	0	0	0	16	3
OTU209	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	51	0	0
OTU194	0	0	0	0	0	0	0	1	51	0	0	0	0	0	0	0	0	0	1	0	0
OTU227	0	19	11	2	0	10	0	0	0	0	0	0	0	0	0	0	6	0	4	0	0
OTU306	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51
OTU202	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	0
OTU327	9	2	11	0	0	0	0	6	1	1	0	0	4	0	2	0	0	0	2	1	9
OTU622	0	0	0	2	0	4	0	0	0	0	12	0	0	0	0	0	0	0	4	26	0
OTU744	2	0	11	2	0	2	5	0	4	0	0	0	0	0	0	0	0	1	20	0	0
OTU218	46	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU215	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	33	0	0	0	9	0
OTU230	0	2	0	2	0	3	0	0	4	0	0	7	0	0	0	0	3	0	0	22	0
OTU629	0	8	0	0	0	0	0	1	0	0	0	0	0	0	0	0	33	0	0	0	0
OTU239	3	0	5	0	0	0	0	2	0	0	1	0	0	0	3	2	0	0	7	3	15
OTU250	0	0	2	1	10	0	24	0	0	0	0	0	0	0	3	0	1	0	0	0	0
OTU277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41
OTU216	0	0	0	22	8	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU732	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	4	0	3	0	0	0
OTU237	0	2	1	10	10	4	1	4	0	0	0	0	0	0	0	0	1	0	1	5	0
OTU224	0	1	34	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0
OTU252	0	0	14	6	0	0	13	0	0	0	0	0	0	0	5	0	0	0	0	0	0
OTU233	0	3	12	0	3	0	3	10	0	0	0	0	1	0	0	2	0	0	0	4	0
OTU211	0	1	0	2	1	25	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0
OTU271	0	0	0	0	15	0	0	0	0	0	1	0	0	0	0	19	0	0	0	1	0
OTU243	0	0	35	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU875	12	0	0	1	5	0	2	2	0	0	0	1	6	0	1	5	0	1	0	0	0
OTU568	0	0	0	3	2	3	0	0	0	0	0	0	0	0	0	5	0	0	23	0	0
OTU235	0	0	0	0	12	0	2	0	0	0	7	0	1	0	0	0	0	0	0	14	0
OTU231	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	2	27	0	0	0
OTU223	0	0	0	10	0	15	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0
OTU245	0	0	0	16	0	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU214	0	0	9	0	0	0	26	0	0	0	0	0	0	0	0	0	0	0	0	0	0
