# OTU	G75230	G75231	G75232	G63407	G75234	G63409	G75229	G75228	G63413	G75226	G63406	G63410	G63402	G63403	G75227	G75233	G51190	G75237	G75236	G63411	G75235	taxonomy
4449244	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__
509416	70	38	23	4	34	370	40	14	38	1	1000	53	67	22	0	77	428	580	128	320	76	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
865469	11	152	49	215	2	126	30	1	5	0	1596	12	1	0	0	0	0	0	29	613	3	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__parainfluenzae
354461	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
542096	0	1	6	3	16	45	0	13	19	9	44	3	1	55	0	5	20	21	0	7	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
357471	0	2	4	807	0	0	5	0	0	0	0	34	0	0	0	16	0	0	6	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
177930	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	3	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
369429	0	4	0	46	0	1269	0	0	0	0	0	62	8	0	0	5	58	0	29	0	47	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
593672	2	0	1	1	0	7	0	0	42	0	6	2	6	0	0	0	1	3	0	6	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__; g__; s__
OTU732	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	4	0	0	0	0	3	Unclassified
193894	0	0	0	0	0	0	0	0	0	51	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__Clostridium; s__
214036	0	0	0	0	2	0	0	2	3	20	41	0	0	3	0	13	0	6	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__[Mogibacteriaceae]; g__; s__
4457064	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__
OTU706	0	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	Unclassified
517548	0	0	0	0	0	0	0	0	10	0	0	0	0	0	0	0	0	0	1	11	0	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Pasteurellales; f__Pasteurellaceae; g__Haemophilus; s__
2438396	0	0	0	0	0	0	0	0	992	1379	0	0	0	0	0	0	0	0	2	0	0	k__Bacteria; p__Fusobacteria; c__Fusobacteriia; o__Fusobacteriales; f__Fusobacteriaceae; g__Fusobacterium; s__
358483	0	0	0	1	0	0	0	0	0	0	0	3	0	0	0	0	0	0	1	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
4331760	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__Alistipes; s__indistinctus
591785	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__stercorea
535601	3	0	4	3	15	1	0	17	69	82	220	4	2	35	0	2	39	20	0	1379	1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
329688	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	67	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__Collinsella; s__stercoris
1111294	34	0	1	8082	43	832	6	0	4191	1236	3208	17790	1381	619	2	0	8	1	43	11238	5	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Enterobacteriales; f__Enterobacteriaceae; g__; s__
4301298	0	52	0	143	55	766	17	0	26	668	3	111	1084	914	5	58	0	0	0	5	28	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__
968954	0	0	114	75	2	10	0	1	5	1	51	17	1	1	0	0	0	9	21	9	0	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus; s__
368099	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	2	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Veillonellaceae; g__Veillonella; s__
362539	17	2	3	4	12	68	1	5	45	11	95	5	39	32	6	2	53	42	0	12	8	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
OTU26	0	48	0	3098	0	0	0	0	23	0	0	2873	0	0	0	0	0	0	0	3	0	Unclassified
577406	0	0	0	0	0	72	4	2	36	11	0	0	1	1	0	9	23	18	0	0	1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__Dorea; s__
358944	0	5	20	15	0	36	4	10	44	15	24	13	0	0	12	22	91	23	0	1	27	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__
19611	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
184833	0	0	0	48	0	16	1	0	0	0	0	145	9	0	0	0	1	0	113	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__
198928	74	1	4	12	0	73	1	0	0	5	532	17	0	2	0	47	11	1	0	7	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]; s__
359809	1	67	332	99	1197	36	63	0	4	700	1	50	165	3421	355	94	4853	0	3	6	1292	k__Bacteria; p__Proteobacteria; c__Betaproteobacteria; o__Burkholderiales; f__Alcaligenaceae; g__Sutterella; s__
232900	0	0	0	1	0	0	0	0	0	11	0	0	8	0	0	0	0	0	0	0	0	k__Bacteria; p__Actinobacteria; c__Coriobacteriia; o__Coriobacteriales; f__Coriobacteriaceae; g__; s__
540862	0	1	2	23	2	14	0	1	2	0	4	41	8	1	2	7	26	4	0	12	5	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
OTU711	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	Unclassified
4352875	0	0	0	30	0	0	0	0	0	29	0	24	0	0	0	0	0	0	0	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
348009	0	0	80	0	0	8	0	0	0	0	0	0	0	0	0	40	0	0	11	0	0	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__
367213	0	9	1	129	0	81	15	0	0	0	2135	323	401	0	9	0	76	0	262	1	53	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__
195508	0	0	0	0	0	1	0	0	0	0	0	0	12	0	0	0	0	0	0	0	0	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__caccae
